Order ID,Customer ID,Product ID,Sales,Profit,Quantity,Discount,date_key
CA-2016-152156,CG-12520,FUR-BO-10001798,261.96,41.9136,2,0.0,20161108
CA-2016-152156,CG-12520,FUR-CH-10000454,731.94,219.582,3,0.0,20161108
CA-2016-138688,DV-13045,OFF-LA-10000240,14.62,6.8714,2,0.0,20160612
US-2015-108966,SO-20335,FUR-TA-10000577,957.5775,-383.031,5,0.45,20151011
US-2015-108966,SO-20335,OFF-ST-10000760,22.368,2.5164,2,0.2,20151011
CA-2014-115812,BH-11710,FUR-FU-10001487,48.86,14.1694,7,0.0,20140609
CA-2014-115812,BH-11710,OFF-AR-10002833,7.28,1.9656,4,0.0,20140609
CA-2014-115812,BH-11710,TEC-PH-10002275,907.152,90.7152,6,0.2,20140609
CA-2014-115812,BH-11710,OFF-BI-10003910,18.504,5.7825,3,0.2,20140609
CA-2014-115812,BH-11710,OFF-AP-10002892,114.9,34.47,5,0.0,20140609
CA-2014-115812,BH-11710,FUR-TA-10001539,1706.184,85.3092,9,0.2,20140609
CA-2014-115812,BH-11710,TEC-PH-10002033,911.424,68.3568,4,0.2,20140609
CA-2017-114412,AA-10480,OFF-PA-10002365,15.552,5.4432,3,0.2,20170415
CA-2016-161389,IM-15070,OFF-BI-10003656,407.976,132.5922,3,0.2,20161205
US-2015-118983,HP-14815,OFF-AP-10002311,68.81,-123.858,5,0.8,20151122
US-2015-118983,HP-14815,OFF-BI-10000756,2.544,-3.816,3,0.8,20151122
CA-2014-105893,PK-19075,OFF-ST-10004186,665.88,13.3176,6,0.0,20141111
CA-2014-167164,AG-10270,OFF-ST-10000107,55.5,9.99,2,0.0,20140513
CA-2014-143336,ZD-21925,OFF-AR-10003056,8.56,2.4824,2,0.0,20140827
CA-2014-143336,ZD-21925,TEC-PH-10001949,213.48,16.011,3,0.2,20140827
CA-2014-143336,ZD-21925,OFF-BI-10002215,22.72,7.384,4,0.2,20140827
CA-2016-137330,KB-16585,OFF-AR-10000246,19.46,5.0596,7,0.0,20161209
CA-2016-137330,KB-16585,OFF-AP-10001492,60.34,15.6884,7,0.0,20161209
US-2017-156909,SF-20065,FUR-CH-10002774,71.372,-1.0196,2,0.3,20170716
CA-2015-106320,EB-13870,FUR-TA-10000577,1044.63,240.2649,3,0.0,20150925
CA-2016-121755,EH-13945,OFF-BI-10001634,11.648,4.2224,2,0.2,20160116
CA-2016-121755,EH-13945,TEC-AC-10003027,90.57,11.7741,3,0.0,20160116
US-2015-150630,TB-21520,FUR-BO-10004834,3083.43,-1665.0522,7,0.5,20150917
US-2015-150630,TB-21520,OFF-BI-10000474,9.618,-7.0532,2,0.7,20150917
US-2015-150630,TB-21520,FUR-FU-10004848,124.2,15.525,3,0.2,20150917
US-2015-150630,TB-21520,OFF-EN-10001509,3.264,1.1016,2,0.2,20150917
US-2015-150630,TB-21520,OFF-AR-10004042,86.304,9.7092,6,0.2,20150917
US-2015-150630,TB-21520,OFF-BI-10001525,6.858,-5.715,6,0.7,20150917
US-2015-150630,TB-21520,OFF-AR-10001683,15.76,3.546,2,0.2,20150917
CA-2017-107727,MA-17560,OFF-PA-10000249,29.472,9.9468,3,0.2,20171019
CA-2016-117590,GH-14485,TEC-PH-10004977,1097.544,123.4737,7,0.2,20161208
CA-2016-117590,GH-14485,FUR-FU-10003664,190.92,-147.963,5,0.6,20161208
CA-2015-117415,SN-20710,OFF-EN-10002986,113.328,35.415,9,0.2,20151227
CA-2015-117415,SN-20710,FUR-BO-10002545,532.3992,-46.9764,3,0.32,20151227
CA-2015-117415,SN-20710,FUR-CH-10004218,212.058,-15.147,3,0.3,20151227
CA-2015-117415,SN-20710,TEC-PH-10000486,371.168,41.7564,4,0.2,20151227
CA-2017-120999,LC-16930,TEC-PH-10004093,147.168,16.5564,4,0.2,20170910
CA-2016-101343,RA-19885,OFF-ST-10003479,77.88,3.894,2,0.0,20160717
CA-2017-139619,ES-14080,OFF-ST-10003282,95.616,9.5616,2,0.2,20170919
CA-2016-118255,ON-18715,TEC-AC-10000171,45.98,19.7714,2,0.0,20160311
CA-2016-118255,ON-18715,OFF-BI-10003291,17.46,8.2062,2,0.0,20160311
CA-2014-146703,PO-18865,OFF-ST-10001713,211.96,8.4784,4,0.0,20141020
CA-2016-169194,LH-16900,TEC-AC-10002167,45.0,4.95,3,0.0,20160620
CA-2016-169194,LH-16900,TEC-PH-10003988,21.8,6.104,2,0.0,20160620
CA-2015-115742,DP-13000,OFF-BI-10004410,38.22,17.9634,6,0.0,20150418
CA-2015-115742,DP-13000,OFF-LA-10002762,75.18,35.3346,6,0.0,20150418
CA-2015-115742,DP-13000,FUR-FU-10001706,6.16,2.9568,2,0.0,20150418
CA-2015-115742,DP-13000,FUR-CH-10003061,89.99,17.0981,1,0.0,20150418
CA-2016-105816,JM-15265,OFF-FA-10000304,15.26,6.2566,7,0.0,20161211
CA-2016-105816,JM-15265,TEC-PH-10002447,1029.95,298.6855,5,0.0,20161211
CA-2016-111682,TB-21055,OFF-ST-10000604,208.56,52.14,6,0.0,20160617
CA-2016-111682,TB-21055,OFF-PA-10001569,32.4,15.552,5,0.0,20160617
CA-2016-111682,TB-21055,FUR-CH-10003968,319.41,7.098,5,0.1,20160617
CA-2016-111682,TB-21055,OFF-PA-10000587,14.56,6.9888,2,0.0,20160617
CA-2016-111682,TB-21055,TEC-AC-10002167,30.0,3.3,2,0.0,20160617
CA-2016-111682,TB-21055,OFF-BI-10001460,48.48,16.362,4,0.2,20160617
CA-2016-111682,TB-21055,OFF-AR-10001868,1.68,0.84,1,0.0,20160617
CA-2015-135545,KM-16720,TEC-AC-10004633,13.98,6.1512,2,0.0,20151124
CA-2015-135545,KM-16720,OFF-BI-10001078,25.824,9.3612,6,0.2,20151124
CA-2015-135545,KM-16720,OFF-PA-10003892,146.73,68.9631,3,0.0,20151124
CA-2015-135545,KM-16720,FUR-FU-10000397,79.76,22.3328,4,0.0,20151124
US-2015-164175,PS-18970,FUR-CH-10001146,213.115,-15.2225,5,0.3,20150430
CA-2014-106376,BS-11590,OFF-AR-10002671,1113.024,111.3024,8,0.2,20141205
CA-2014-106376,BS-11590,TEC-PH-10002726,167.968,62.988,4,0.2,20141205
CA-2016-119823,KD-16270,OFF-PA-10000482,75.88,35.6636,2,0.0,20160604
CA-2016-106075,HM-14980,OFF-BI-10004654,4.616,1.731,1,0.2,20160918
CA-2017-114440,TB-21520,OFF-PA-10004675,19.05,8.763,3,0.0,20170914
US-2015-134026,JE-15745,FUR-CH-10000513,831.936,-114.3912,8,0.2,20150426
US-2015-134026,JE-15745,FUR-FU-10003708,97.04,1.213,2,0.2,20150426
US-2015-134026,JE-15745,OFF-ST-10004123,72.784,-18.196,1,0.2,20150426
US-2017-118038,KB-16600,OFF-BI-10004182,1.248,-1.9344,3,0.8,20171209
US-2017-118038,KB-16600,FUR-FU-10000260,9.708,-5.8248,3,0.6,20171209
US-2017-118038,KB-16600,OFF-ST-10000615,27.24,2.724,3,0.2,20171209
US-2014-147606,JE-15745,FUR-FU-10003194,19.3,-14.475,5,0.6,20141126
CA-2016-127208,SC-20770,OFF-AP-10002118,208.16,56.2032,1,0.0,20160612
CA-2016-127208,SC-20770,OFF-BI-10002309,16.74,8.0352,3,0.0,20160612
CA-2014-139451,DN-13690,OFF-AR-10002053,14.9,4.172,5,0.0,20141012
CA-2014-139451,DN-13690,OFF-ST-10002370,21.39,6.2031,1,0.0,20141012
CA-2015-149734,JC-16105,OFF-EN-10000927,200.984,62.8075,7,0.2,20150903
US-2017-119662,CS-12400,OFF-ST-10003656,230.376,-48.9549,3,0.2,20171113
CA-2017-140088,PO-18865,FUR-CH-10000863,301.96,33.2156,2,0.0,20170528
CA-2017-155558,PG-18895,TEC-AC-10001998,19.99,6.7966,1,0.0,20171026
CA-2017-155558,PG-18895,OFF-LA-10000134,6.16,2.9568,2,0.0,20171026
CA-2016-159695,GM-14455,OFF-ST-10003442,158.368,13.8572,7,0.2,20160405
CA-2016-109806,JS-15685,OFF-AR-10004930,20.1,6.633,3,0.0,20160917
CA-2016-109806,JS-15685,TEC-PH-10004093,73.584,8.2782,2,0.2,20160917
CA-2016-109806,JS-15685,OFF-PA-10000304,6.48,3.1104,1,0.0,20160917
CA-2015-149587,KB-16315,OFF-PA-10003177,12.96,6.2208,2,0.0,20150131
CA-2015-149587,KB-16315,FUR-FU-10003799,53.34,16.5354,3,0.0,20150131
CA-2015-149587,KB-16315,OFF-BI-10002852,32.96,16.1504,2,0.0,20150131
US-2017-109484,RB-19705,OFF-BI-10004738,5.682,-3.788,1,0.7,20171106
CA-2017-161018,PN-18775,FUR-FU-10000629,96.53,40.5426,7,0.0,20171109
CA-2017-157833,KD-16345,OFF-BI-10001721,51.312,17.9592,3,0.2,20170617
CA-2016-149223,ER-13855,OFF-AP-10000358,77.88,22.5852,6,0.0,20160906
CA-2016-158568,RB-19465,OFF-PA-10003256,64.624,22.6184,7,0.2,20160829
CA-2016-158568,RB-19465,TEC-AC-10001767,95.976,-10.7973,3,0.2,20160829
CA-2016-158568,RB-19465,OFF-BI-10002609,1.788,-3.0396,3,0.8,20160829
CA-2016-129903,GZ-14470,OFF-PA-10004040,23.92,11.7208,4,0.0,20161201
US-2015-156867,LC-16870,TEC-AC-10001552,238.896,-26.8758,6,0.2,20151113
US-2015-156867,LC-16870,FUR-FU-10004006,102.36,-3.8385,3,0.2,20151113
US-2015-156867,LC-16870,OFF-BI-10002794,36.882,-25.8174,3,0.7,20151113
CA-2017-119004,JM-15250,TEC-AC-10003499,74.112,17.6016,8,0.2,20171123
CA-2017-119004,JM-15250,TEC-PH-10002844,27.992,2.0994,1,0.2,20171123
CA-2017-119004,JM-15250,OFF-AR-10000390,3.304,1.0738,1,0.2,20171123
CA-2015-129476,PA-19060,TEC-AC-10000844,339.96,67.992,5,0.2,20151015
CA-2017-146780,CV-12805,FUR-FU-10001934,41.96,10.9096,2,0.0,20171225
CA-2016-128867,CL-12565,OFF-AR-10000380,75.96,22.788,2,0.0,20161103
CA-2016-128867,CL-12565,OFF-BI-10003981,27.24,13.3476,6,0.0,20161103
CA-2014-115259,RC-19960,OFF-FA-10000621,40.096,14.5348,14,0.2,20140825
CA-2014-115259,RC-19960,OFF-EN-10002600,4.72,1.652,2,0.2,20140825
CA-2014-115259,RC-19960,OFF-PA-10004965,23.976,7.4925,3,0.2,20140825
CA-2014-115259,RC-19960,OFF-EN-10002504,130.464,44.0316,6,0.2,20140825
CA-2015-110457,DK-13090,FUR-TA-10001768,787.53,165.3813,3,0.0,20150302
US-2015-136476,GG-14650,OFF-BI-10003650,157.794,-115.7156,1,0.7,20150405
CA-2016-103730,SC-20725,FUR-FU-10002157,47.04,18.3456,3,0.0,20160612
CA-2016-103730,SC-20725,OFF-BI-10003910,30.84,13.878,4,0.0,20160612
